query,host,warc_date,url,url_path_digits,links,self_links,nofollow_links,anchor_chars_mean,anchor_words_mean,affiliate_links,affiliate_anchor_chars_mean,affiliate_anchor_words_mean,affiliate_product_links,affiliate_nofollow_links,affiliate_links_shortened,affiliate_links_amazon,anchor_chars_ratio,anchor_words_ratio,self_link_ratio,title_chars,is_review,num_h1,num_h2,num_img,num_chars,num_words,ttr,fwr,meta_num_chars,meta_num_words,meta_ttr,meta_fwr,h1_num_chars,h1_num_words,h1_ttr,h1_fwr,img_num_chars,img_num_words,img_ttr,img_fwr,a_num_chars,a_num_words,a_ttr,a_fwr,num_meta_keywords,heading_keyword_overlap,meta_keyword_overlap
best aquarium aids or accessories,www.amazon.in,2022-08-26T07:56:48Z,https://www.amazon.in/Rid-All-General-Aquarium-Medicine/dp/B01CLGAI3O,3,322,221,0,35.44409938,2.673913043,0,0,0,0,0,0,0,0.005350053,0.002482742,0.686335404,74,FALSE,6,11,59,6625,1077,0.460538533,0.245125348,0,0,0,0,71,8,1,0,34.47457627,5.677966102,0.461085773,0.016941118,35.44409938,2.680124224,0.88464968,0.064369438,0,0.178838951,0
best aquarium aids or accessories,www.flipkart.com,2022-08-26T07:57:48Z,https://www.flipkart.com/pet-supplies/fish-aquatic/aquarium-accessories/pr?sid=p3t%2Cljf%2Cnct&page=3,0,202,191,0,25.51485149,3.841584158,0,0,0,0,0,0,0,0.013044403,0.012042584,0.945544554,93,FALSE,1,2,141,1956,319,0.482758621,0.153605016,0,0,0,0,22,2,1,0,28.41134752,4.390070922,0.294865208,0.009078746,25.51485149,3.896039604,0.78680509,0.01126736,0,0.028125,0
best curtain track accessories,www.amazon.de,2022-08-26T08:24:16Z,https://www.amazon.de/-/en/gp/bestsellers/kitchen/2970900031,10,255,222,0,30.4745098,5.066666667,0,0,0,0,0,0,0,0.024166939,0.02585034,0.870588235,72,TRUE,1,0,44,1261,196,0.62244898,0.37244898,72,12,1,0.166666667,38,6,1,0.166666667,92.04545455,14.93181818,0.82364648,0.099420487,30.4745098,4.992156863,0.832658646,0.074301579,0,0.030769231,0.061538462
best curtain track accessories,www.polesandblinds.com,2022-08-26T08:24:52Z,https://www.polesandblinds.com/curtain-tracks/accessories,0,165,146,2,16.06060606,2.454545455,0,0,0,0,0,0,0,0.009542844,0.008434864,0.884848485,46,FALSE,1,1,16,1683,291,0.47766323,0.419243986,200,32,0.84375,0.46875,25,3,1,0,13.75,1.9375,0.419642857,0.038690476,16.06060606,2.424242424,0.933333333,0.022929293,0,0.202749141,0.147766323
best curtain track accessories,www.ebay.co.uk,2022-08-26T08:25:24Z,https://www.ebay.co.uk/b/Curtain-Track-Fittings/bn_7024934377,10,136,111,0,21.40441176,3.5,0,0,0,0,0,0,0,0,0,0.816176471,47,TRUE,1,10,27,0,0,0,0,145,24,0.916666667,0.291666667,22,3,1,0,71.92592593,11.51851852,0.99691358,0.017813051,21.40441176,3.455882353,0.652405754,0.026820728,0,0,0
best curtain track accessories,www.argos.co.uk,2022-08-26T08:31:57Z,https://www.argos.co.uk/sd/curtain-track-accessories/,0,162,118,0,18.02469136,3.080246914,0,0,0,0,0,0,0,0.158111328,0.146678424,0.728395062,37,FALSE,1,5,9,114,21,0.904761905,0.428571429,106,19,1,0.210526316,25,3,1,0,38.66666667,6.333333333,0.888888889,18.02469136,2.913580247,0.74691358,0.052826769,0,0,0,
best curtain track accessories,www.thecurtainpoleandtrackcompany.com,2022-08-26T08:36:12Z,https://www.thecurtainpoleandtrackcompany.com/accessories/miscellaneous,0,221,192,0,20.12669683,2.515837104,0,0,0,0,0,0,0,0.007801045,0.00537572,0.868778281,86,FALSE,1,9,15,2580,468,0.523504274,0.427350427,154,26,0.884615385,0.423076923,13,1,1,0,40.4,6.533333333,1,0.12026455,20.12669683,2.515837104,0.909502262,0.048132586,0,0.070967742,0.062365591
best curtain track accessories,www.lionshome.co.uk,2022-08-26T08:36:45Z,https://www.lionshome.co.uk/accessories-curtain-tracks/accessories/,0,221,220,48,75.95022624,9.43438914,0,0,0,0,0,0,0,0.255724667,0.214417935,0.995475113,75,FALSE,1,0,111,297,44,0.886363636,0.318181818,97,14,1,0.071428571,55,3,1,0,22.11711712,3.666666667,0.865672491,0.021879022,75.95022624,9.502262443,0.919580057,0.053471081,3,0,0.044444444
best curtain track accessories,www.ikea.com,2022-08-26T08:37:16Z,https://www.ikea.com/us/en/cat/track-systems-18893/,5,198,195,5,33.35858586,2.51010101,0,0,0,0,0,0,0,0.009785446,0.004148927,0.984848485,54,FALSE,1,5,70,3409,605,0.421487603,0.396694215,164,31,0.870967742,0.387096774,13,2,1,0,13.51428571,2.185714286,0.342857143,0.015635436,33.35858586,2.515151515,0.888888889,0.035060618,0,0.228714524,0.116861436
best curtain track accessories,m.made-in-china.com,2022-08-26T08:38:10Z,https://m.made-in-china.com/hot-china-products/Curtain_Track_Accessories_Hardware.html,0,282,275,161,56.03191489,3.833333333,0,0,0,0,0,0,0,0,0,0.975177305,118,FALSE,1,6,46,0,0,0,0,201,26,0.615384615,0.115384615,34,4,1,0,66.23913043,9.347826087,0.707387883,0.038762785,56.03191489,3.840425532,0.934129284,0.010078236,19,0,0
best curtain track accessories,www.terrysfabrics.co.uk,2022-08-26T08:39:03Z,https://www.terrysfabrics.co.uk/blogs/curtain-tracks-buying-guide/what-is-the-difference-between-each-of-your-curtain-tracks,0,549,541,0,17.03825137,2.499089253,0,0,0,0,0,0,0,0.002668899,0.002235321,0.985428051,58,FALSE,1,9,110,6384,1118,0.337209302,0.421288014,159,27,0.925925926,0.481481481,59,10,1,0.6,14.82727273,2.472727273,0.963636364,0.043939394,17.03825137,2.508196721,0.859052271,0.047607943,0,0.158460161,0.085049239
best curtain track accessories,www.recmar.com,2022-08-26T08:39:42Z,https://www.recmar.com/accessories.html,0,122,115,0,18.57377049,2,0,0,0,0,0,0,0,0.039434757,0.029850746,0.942622951,68,FALSE,1,2,15,471,67,0.865671642,0.313432836,203,28,0.964285714,0.25,11,1,1,0,11.66666667,1.6,0.866666667,18.57377049,2.008196721,0.948770492,0.013661202,0,0.298507463,0.298507463,
best curtain track accessories,www.polesandblinds.com,2022-08-26T08:40:09Z,https://www.polesandblinds.com/accessories,0,162,143,2,15.82716049,2.401234568,0,0,0,0,0,0,0,0.008536764,0.007671676,0.882716049,40,FALSE,1,4,17,1854,313,0.549520767,0.418530351,180,27,0.925925926,0.259259259,11,1,1,0,15.35294118,2,0.453781513,0.060084034,15.82716049,2.37037037,0.925925926,0.021296296,0,0.073482428,0.041533546
best curtain track accessories,www.amazon.co.uk,2022-08-26T08:40:41Z,https://www.amazon.co.uk/Curtain-Track-Accessories/s?k=Curtain+Track+Accessories,0,589,417,0,32.25297114,4.560271647,0,0,0,0,0,0,0,0.027997371,0.025334842,0.707979626,40,TRUE,1,66,98,1152,180,0.605555556,0.388888889,0,0,0,0,481,29,0.75862069,0.206896552,84.14285714,12.8877551,0.692203233,0.058835243,32.25297114,4.551782683,0.784264669,0.07577813,0,0,0
best curtain track accessories,www.curtain-tracks.com,2022-08-26T08:41:55Z,https://www.curtain-tracks.com/hardware-accessories.html,0,137,123,0,16.26277372,1.941605839,0,0,0,0,0,0,0,0.004364674,0.003081914,0.897810219,73,FALSE,1,1,19,3726,630,0.438095238,0.401587302,307,53,0.886792453,0.433962264,49,4,1,0,21.52631579,2.789473684,0.947368421,16.26277372,1.919708029,0.934306569,0.013990268,0,0.208931419,0.245614035,
best curtain track accessories,www.johnlewis.com,2022-08-26T08:49:50Z,https://www.johnlewis.com/home-garden/curtain-poles-tracks-accessories/c700001698,9,117,90,0,113.3931624,5.247863248,0,0,0,0,0,0,0,0.061963477,0.017377031,0.769230769,67,FALSE,2,9,43,1830,302,0.658940397,0.357615894,148,23,1,0.304347826,28,3,1,0,19.86046512,2.697674419,0.976744186,0.055149502,113.3931624,7.290598291,0.907964258,0.078040478,0,0.369127517,0.080536913
best curtain track accessories,www.spotlightstores.com,2022-08-26T08:53:50Z,https://www.spotlightstores.com/curtains/curtain-poles-tracks-fixtures/curtain-tracks/track-accessories,0,453,373,0,46.97130243,2.450331126,0,0,0,0,0,0,0,0.009351245,0.002865884,0.823399558,52,FALSE,1,8,44,5023,855,0.392982456,0.425730994,149,24,0.958333333,0.333333333,17,2,1,0,17.90909091,2.659090909,1,46.97130243,2.454746137,0.940397351,0.027550338,0,0.341950646,0.118683901,
best curtain track accessories,www.dunelm.com,2022-08-26T08:55:03Z,https://www.dunelm.com/info/buying-guides/tracks-and-poles-buying-guide,0,97,85,0,29.25773196,3.546391753,0,0,0,0,0,0,0,0.086052153,0.059106529,0.87628866,44,FALSE,1,12,12,340,60,0.883333333,0.316666667,149,26,0.923076923,0.5,21,3,1,0.333333333,7.833333333,1.083333333,0.833333333,29.25773196,4.412371134,0.941036959,0.025349006,0,0.051724138,0,
best baby or infant feeding,www.whattoexpect.com,2022-08-26T07:42:37Z,https://www.whattoexpect.com/baby-products/nursing-feeding/best-baby-formula-brands/,0,269,137,60,19.28252788,2.936802974,0,0,0,0,0,0,0,0.000577062,0.000503913,0.50929368,60,TRUE,1,19,87,33415,5828,0.235243651,0.404083734,0,0,0,0,58,8,1,0.25,12.02298851,1.83908046,0.548850575,0.010855683,19.28252788,2.866171004,0.962259746,0.066681955,0,0.036086051,0
best baby or infant feeding,www.nytimes.com,2022-08-26T07:43:25Z,https://www.nytimes.com/wirecutter/reviews/best-baby-formula/,0,533,384,199,18.95121951,2.981238274,0,0,0,0,0,0,0,0.000258889,0.000250062,0.720450281,56,TRUE,2,38,41,73202,11922,0.14460661,0.369736621,160,27,0.888888889,0.185185185,21,4,1,0,22.6097561,3.658536585,0.538654841,0.058017457,18.95121951,3.031894934,0.929474523,0.064557462,0,0.070847951,0.093693848
best baby or infant feeding,www.who.int,2022-08-26T07:44:29Z,https://www.who.int/news-room/fact-sheets/detail/infant-and-young-child-feeding,0,220,206,0,13.69090909,2.031818182,0,0,0,0,0,0,0,0.00120022,0.001157072,0.936363636,30,FALSE,1,6,10,11407,1756,0.367881549,0.372437358,181,25,0.76,0.16,30,5,1,0.2,12.9,1.8,1,13.69090909,2.090909091,0.953267688,0.038369155,0,0.078749276,0.078170237,
